image,label
train/input/P92HBN_1.png,train/class_2/P92HBN_1.png
train/input/P92HBN_10.png,train/class_2/P92HBN_10.png
train/input/P92HBN_11.png,train/class_2/P92HBN_11.png
train/input/P92HBN_12.png,train/class_2/P92HBN_12.png
train/input/P92HBN_13.png,train/class_2/P92HBN_13.png
train/input/P92HBN_14.png,train/class_2/P92HBN_14.png
train/input/P92HBN_15.png,train/class_2/P92HBN_15.png
train/input/P92HBN_18.png,train/class_2/P92HBN_18.png
train/input/P92HBN_19.png,train/class_2/P92HBN_19.png
train/input/P92HBN_2.png,train/class_2/P92HBN_2.png
train/input/P92HBN_20.png,train/class_2/P92HBN_20.png
train/input/P92HBN_21.png,train/class_2/P92HBN_21.png
train/input/P92HBN_22.png,train/class_2/P92HBN_22.png
train/input/P92HBN_23.png,train/class_2/P92HBN_23.png
train/input/P92HBN_24.png,train/class_2/P92HBN_24.png
train/input/P92HBN_3.png,train/class_2/P92HBN_3.png
train/input/P92HBN_4.png,train/class_2/P92HBN_4.png
train/input/P92HBN_5.png,train/class_2/P92HBN_5.png
train/input/P92HBN_6.png,train/class_2/P92HBN_6.png
train/input/P92HBN_8.png,train/class_2/P92HBN_8.png
train/input/P92HBN_9.png,train/class_2/P92HBN_9.png
train/input/P92LBN_1.png,train/class_2/P92LBN_1.png
train/input/P92LBN_10.png,train/class_2/P92LBN_10.png
train/input/P92LBN_11.png,train/class_2/P92LBN_11.png
train/input/P92LBN_12.png,train/class_2/P92LBN_12.png
train/input/P92LBN_13.png,train/class_2/P92LBN_13.png
train/input/P92LBN_14.png,train/class_2/P92LBN_14.png
train/input/P92LBN_15.png,train/class_2/P92LBN_15.png
train/input/P92LBN_16.png,train/class_2/P92LBN_16.png
train/input/P92LBN_17.png,train/class_2/P92LBN_17.png
train/input/P92LBN_18.png,train/class_2/P92LBN_18.png
train/input/P92LBN_19.png,train/class_2/P92LBN_19.png
train/input/P92LBN_2.png,train/class_2/P92LBN_2.png
train/input/P92LBN_20.png,train/class_2/P92LBN_20.png
train/input/P92LBN_23.png,train/class_2/P92LBN_23.png
train/input/P92LBN_24.png,train/class_2/P92LBN_24.png
train/input/P92LBN_4.png,train/class_2/P92LBN_4.png
train/input/P92LBN_5.png,train/class_2/P92LBN_5.png
train/input/P92LBN_8.png,train/class_2/P92LBN_8.png
train/input/P92LBN_9.png,train/class_2/P92LBN_9.png
train/input/P92_1.png,train/class_2/P92_1.png
train/input/P92_10.png,train/class_2/P92_10.png
train/input/P92_11.png,train/class_2/P92_11.png
train/input/P92_12.png,train/class_2/P92_12.png
train/input/P92_13.png,train/class_2/P92_13.png
train/input/P92_15.png,train/class_2/P92_15.png
train/input/P92_16.png,train/class_2/P92_16.png
train/input/P92_17.png,train/class_2/P92_17.png
train/input/P92_18.png,train/class_2/P92_18.png
train/input/P92_19.png,train/class_2/P92_19.png
train/input/P92_20.png,train/class_2/P92_20.png
train/input/P92_21.png,train/class_2/P92_21.png
train/input/P92_22.png,train/class_2/P92_22.png
train/input/P92_23.png,train/class_2/P92_23.png
train/input/P92_24.png,train/class_2/P92_24.png
train/input/P92_3.png,train/class_2/P92_3.png
train/input/P92_4.png,train/class_2/P92_4.png
train/input/P92_5.png,train/class_2/P92_5.png
train/input/P92_7.png,train/class_2/P92_7.png
train/input/P92_8.png,train/class_2/P92_8.png
train/input/P92_9.png,train/class_2/P92_9.png
train/input/TAF_1.png,train/class_2/TAF_1.png
train/input/TAF_10.png,train/class_2/TAF_10.png
train/input/TAF_11.png,train/class_2/TAF_11.png
train/input/TAF_12.png,train/class_2/TAF_12.png
train/input/TAF_13.png,train/class_2/TAF_13.png
train/input/TAF_14.png,train/class_2/TAF_14.png
train/input/TAF_15.png,train/class_2/TAF_15.png
train/input/TAF_16.png,train/class_2/TAF_16.png
train/input/TAF_17.png,train/class_2/TAF_17.png
train/input/TAF_18.png,train/class_2/TAF_18.png
train/input/TAF_19.png,train/class_2/TAF_19.png
train/input/TAF_2.png,train/class_2/TAF_2.png
train/input/TAF_20.png,train/class_2/TAF_20.png
train/input/TAF_23.png,train/class_2/TAF_23.png
train/input/TAF_3.png,train/class_2/TAF_3.png
train/input/TAF_4.png,train/class_2/TAF_4.png
train/input/TAF_5.png,train/class_2/TAF_5.png
train/input/TAF_6.png,train/class_2/TAF_6.png
train/input/TAF_8.png,train/class_2/TAF_8.png
